Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C5, C6",0603,6,100nF,
"C4, C7, C8",0603,3,4.7uF,
C9,0603,1,0.1uF,
D1,SOT-23,1,SM712_SOT23,
IC1,SOT230P700X180-4N,1,AP2114H-3.3TRG1,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
"J2, J3",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Socket,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"R1, R10, R2, R6",0603,4,10K,
R3,0603,1,1.8K,
R4,0603,1,3.3K,
R5,0603,1,4.7K,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L053R8Tx,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
