Designator,Mid X,Mid Y,Rotation,Layer
C1,180.225,-105.7,90.0,top
C10,183.825,-99.95,0.0,top
C2,180.225,-112.2,90.0,top
C3,193.810015,-101.825,270.0,top
C4,195.410015,-101.825,270.0,top
C5,191.0,-100.025,180.0,top
C6,171.025,-107.6,180.0,top
C7,167.4,-116.175,90.0,top
C8,179.65,-116.175,270.0,top
C9,177.99,-116.175,270.0,top
D1,164.55,-117.6625,270.0,top
IC1,172.8,-114.05,0.0,top
J1,196.35,-121.9,0.0,top
J2,183.05,-121.9,0.0,top
J3,168.5,-121.9,0.0,top
J5,200.0,-111.77,180.0,top
R1,186.95,-100.0,180.0,top
R10,178.25,-101.7,270.0,top
R2,195.575,-106.75,270.0,top
R3,188.425,-115.225,0.0,top
R4,188.425,-116.875,180.0,top
R5,180.7,-100.8,180.0,top
R6,175.525,-107.6,0.0,top
U1,187.7,-107.675,180.0,top
U2,173.275,-103.6,90.0,top
