Designator,Mid X,Mid Y,Rotation,Layer
BT1,205.85,-140.575,0.0,top
BZ1,204.775,-116.05,0.0,top
C1,235.59,-119.27,270.0,top
C10,216.35,-137.1,270.0,top
C11,229.45,-137.45,90.0,top
C12,203.975,-135.6,0.0,top
C13,211.451429,-141.35,90.0,top
C14,222.35,-141.05,90.0,top
C15,219.075,-143.65,0.0,top
C16,211.15,-126.7,180.0,top
C2,236.6,-109.925,270.0,top
C3,220.915,-130.8,0.0,top
C4,225.065,-130.6,180.0,top
C5,236.3,-140.1,90.0,top
C6,212.27,-106.33,90.0,top
C7,212.52,-102.655,270.0,top
C8,227.665,-133.595,90.0,top
C9,216.1,-133.7,90.0,top
D1,226.9,-141.1,180.0,top
D10,241.3375,-104.95,180.0,top
D2,230.535,-131.79,90.0,top
D3,234.56,-130.415,270.0,top
D4,233.815,-127.335,270.0,top
D5,233.815,-124.115,90.0,top
D7,241.336444,-101.575,180.0,top
D8,241.336444,-103.25,180.0,top
D9,241.3375,-106.65,180.0,top
IC1,222.29,-135.52,180.0,top
J1,192.125,-117.5,180.0,top
J10,240.375,-139.1,90.0,top
J11,181.15,-108.725,270.0,top
J2,182.95,-119.5,0.0,top
J3,182.975,-126.5,0.0,top
J4,182.95,-133.55,0.0,top
J7,182.95,-140.55,0.0,top
J8,201.125,-104.25,0.0,top
J9,240.09,-126.245,90.0,top
L1,214.5,-137.3,270.0,top
Q1,215.415,-124.2,270.0,top
Q2,215.6525,-128.22,270.0,top
Q3,209.3,-130.5,0.0,top
R1,236.65,-136.525,270.0,top
R10,239.475,-109.95,90.0,top
R11,203.975,-133.85,0.0,top
R12,234.55,-114.275,90.0,top
R13,237.7,-101.575,0.0,top
R14,237.7,-103.25,180.0,top
R15,218.54,-127.795,90.0,top
R16,218.54,-124.52,270.0,top
R17,211.2,-133.85,90.0,top
R19,234.8,-132.45,0.0,top
R2,233.05,-142.1,0.0,top
R20,234.8,-134.05,0.0,top
R21,237.675,-106.65,0.0,top
R22,220.5,-140.8,270.0,top
R23,222.475,-143.65,0.0,top
R24,237.675,-104.95,0.0,top
R25,211.925,-123.25,180.0,top
R26,211.925,-124.8,180.0,top
R27,207.8,-126.75,180.0,top
R4,239.1,-132.4,180.0,top
R5,238.565,-119.22,90.0,top
R6,227.865,-127.795,90.0,top
R7,229.515,-126.645,90.0,top
R8,228.79,-123.47,180.0,top
R9,239.39,-114.27,90.0,top
SW1,242.065,-115.17,180.0,top
SW2,242.075,-110.0,180.0,top
SW4,191.3,-139.715,270.0,top
TH1,198.02,-142.6,0.0,top
U1,233.0125,-138.55,270.0,top
U2,207.65,-124.25,90.0,top
U3,214.96,-141.4,180.0,top
U4,222.89,-125.645,180.0,top
U5,223.575,-109.895,0.0,top
U6,207.8625,-134.7,0.0,top
