Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C10, C12, C15, C2, C3, C7",0603,7,0.1uF,
C11,0805,1,4.7uF,
"C13, C14, C16, C4, C5, C6",0805,6,10uF,
"C8, C9",0805,2,22uF,
"D1, D2",D_SMA,2,SS14,
"D10, D7, D9",0603,3,BLUE,
"D3, D4, D5",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,
D8,0603,1,RED,
IC1,SOT230P700X180-4N,1,AP2114H-3.3TRG1,
J1,PinSocket_1x16_P2.00mm_Vertical,1,Conn_01x16,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
"J2, J3, J4, J5, J6, J7",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,6,Conn_01x03,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,
L1,0805,1,L,
"Q1, Q2",TRANS_SS8050-G,2,SS8050-G,
Q3,SOP65P640X120-8N,1,FS8205A,
R1,0603,1,1.5K,
"R10, R15, R16, R19, R20, R9",0603,6,10K,
R11,0603,1,100R,
R12,0603,1,22R,
"R13, R21, R24",0603,3,33R,
R14,0603,1,150R,
"R17, R2, R8",0603,3,2K,
R22,0603,1,900K,
R23,0603,1,100K,
"R25, R26, R27",0603,3,5K,
R3,0603,1,4.7kΩ,
"R4, R5",0603,2,5.1K,
R6,0603,1,22.1K,
R7,0603,1,47.5K,
SW1,SW_SPST_B3U-1000P,1,BOOT,
SW2,SW_SPST_B3U-1000P,1,RESET,
SW4,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_SPDT,
TH1,R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,1,Thermistor_NTC 10 kΩ 25 °C,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,
U2,MSOP10,1,~,
U3,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,
U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U6,SOT-23-6,1,DW01A,
